t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
40205,168552,119651,48528923,83914,83914, TOUCHED
40230,219760,213249,100767173,51208,51208, TOUCHED
40255,218684,219118,156496,1076,-1076, TOUCHED
40280,220100,219924,76539,1416,1416, TOUCHED
40305,218062,219086,968572,2038,-2038, TOUCHED
40330,182601,216616,100728900,37379,-36661, TOUCHED
40355,85945,101421,46647313,96656,-96656,UNTOUCHED
40380,84420,85249,443331,1769,-1525, NO_EVENT
40405,83008,83831,204839,1412,-1412, NO_EVENT
40430,83281,83041,27731,451,273, NO_EVENT
40455,83683,83421,39817,593,402, NO_EVENT
40480,86409,84437,430303,2935,2935, NO_EVENT
40505,88431,87120,1252813,2735,2022, NO_EVENT
40530,218658,146226,128547863,126942,126942, TOUCHED
40555,220031,219758,586617,1720,1373, TOUCHED
40580,219868,219917,4983,163,-163, TOUCHED
40605,218708,219518,211349,1160,-1160, TOUCHED
40630,219132,219470,332258,1341,424, TOUCHED
40655,90885,169011,66656819,129114,-128247, UNTOUCHED
40680,86960,88415,1986486,4260,-3925, NO_EVENT
40705,84778,86061,309325,2182,-2182, NO_EVENT
40730,84136,84822,142184,1145,-642, NO_EVENT
40755,83905,84156,14882,422,-231, NO_EVENT
40780,84623,84453,74950,978,718, NO_EVENT
40805,85855,85252,439867,1836,1232, NO_EVENT
40830,89106,87780,1066538,3251,3251, NO_EVENT
40855,117288,103382,153619658,28182,28182, TOUCHED
40880,219386,215041,54629006,102098,102098, TOUCHED
40905,216768,217930,615196,1974,-1974, TOUCHED
40930,218651,216623,221929,2342,1883, TOUCHED
40955,218248,217908,512163,1479,-403, TOUCHED
40980,161651,204004,51718776,56597,-56597, TOUCHED
41005,90289,95056,12484577,10402,-10402, UNTOUCHED
41030,87215,88548,423176,3074,-3074, NO_EVENT
41055,86089,86494,193444,1126,-1126, NO_EVENT
41080,84693,85325,358637,1561,-1396, NO_EVENT
41105,84712,85162,167558,1220,19, NO_EVENT
41130,85203,85078,16351,299,267, NO_EVENT
41155,86589,86236,215788,1303,406, NO_EVENT
41180,89816,88510,977643,2963,2963, NO_EVENT
41205,191473,106231,136213546,99723,99723, TOUCHED
41230,219878,209000,1227304,28405,28405, TOUCHED
41255,219965,219755,24944,371,87, TOUCHED
41280,219743,219810,11285,230,-222, TOUCHED
41305,219570,220036,143910,856,-173, TOUCHED
41330,218964,220019,498077,1704,-606, TOUCHED
41355,96131,161802,76257804,122833,-122833, TOUCHED
41380,89277,92411,5187760,6854,-6854,UNTOUCHED
41405,87979,88489,108370,937,-937, NO_EVENT
41430,85847,86893,333963,1553,-1553, NO_EVENT
41455,87051,86766,374364,1793,-643, NO_EVENT
41480,86253,86471,310418,1586,3, NO_EVENT
41505,87336,86923,206040,1145,145, NO_EVENT
41530,91455,89077,1738322,3949,3949, NO_EVENT
41555,219095,133082,128255960,125290,125290, TOUCHED
41580,219873,220253,712657,1928,778, TOUCHED
41605,219488,220380,527203,1634,-385, TOUCHED
41630,220243,220282,229147,1180,755, TOUCHED
41655,101703,152600,22875232,118540,-118540, TOUCHED
41680,91907,96051,10056813,9796,-9796, UNTOUCHED
41705,88122,89438,1693816,3438,-3438, NO_EVENT
41730,86842,87737,280860,1537,-1537, NO_EVENT
41755,86020,86198,550166,1977,-1442, NO_EVENT
41780,85071,85302,82030,815,141, NO_EVENT
41805,84864,84951,117367,1124,-554, NO_EVENT
