id,raw,avg,var,maxminusmin,lastminusfirst,label
7674,71485,76999,25790648,12424,-12424, UNTOUCHED
7675,69762,70380,211196,1723,-1723, NO_EVENT
7676,69222,69425,23210,540,-540, NO_EVENT
7677,68952,69060,4261,234,-234, NO_EVENT
7678,68846,68905,1417,109,-106, NO_EVENT
7679,68913,68856,1038,116,67, NO_EVENT
7680,69048,68949,3642,156,135, NO_EVENT
7681,69385,69180,8580,327,327, NO_EVENT
7682,69899,69608,18714,514,514, NO_EVENT
7683,71281,70419,169819,1382,1382, NO_EVENT
7684,84573,80409,31249399,13578,13292, TOUCHED
7685,71527,75226,23619050,13046,-13046, UNTOUCHED
7686,70658,71003,65168,869,-869, NO_EVENT
7687,70410,70485,6110,255,-248, NO_EVENT
7688,70468,70418,842,95,95, NO_EVENT
7689,70805,70633,10081,291,291, NO_EVENT
7690,71535,71187,48856,673,673, NO_EVENT
7691,84781,74605,20627862,13084,13084, TOUCHED
7692,85154,85160,7772,436,373, TOUCHED
7693,76457,83894,4117849,8697,-8697, UNTOUCHED
7694,71897,73600,2318751,4560,-4560, NO_EVENT
7695,70204,70820,180474,1307,-1307, NO_EVENT
7696,69676,69907,27368,528,-528, NO_EVENT
7697,69575,69590,2340,142,-101, NO_EVENT
7698,69801,69645,7759,259,226, NO_EVENT
7699,71473,70439,250073,1672,1672, NO_EVENT
7700,85233,83061,16701551,13865,13760, TOUCHED
7701,85003,85245,16728,369,-230, TOUCHED
7702,72353,76159,19844337,12104,-12104, UNTOUCHED
7703,70848,71371,173940,1505,-1505, NO_EVENT
7704,70268,70472,25005,425,-425, NO_EVENT
7705,70153,70163,772,84,-52, NO_EVENT
7706,70891,70390,39428,702,702, NO_EVENT
7707,85268,77464,38218413,14448,14377, TOUCHED
7708,85245,85296,1287,91,-23, TOUCHED
7709,84668,85131,46379,649,-577, TOUCHED
7710,71727,74698,10580034,9005,-9005, UNTOUCHED
7711,70323,70830,141724,1074,-1074, NO_EVENT
7712,69712,69946,24443,481,-481, NO_EVENT
7713,69468,69589,4557,245,-245, NO_EVENT
7714,69388,69430,1077,91,-80, NO_EVENT
7715,69376,69384,333,57,-12, NO_EVENT
7716,69419,69399,247,43,43, NO_EVENT
7717,69438,69448,456,55,15, NO_EVENT
7718,69413,69432,298,52,-28, NO_EVENT
7719,69344,69390,557,79,-69, NO_EVENT
7720,69238,69291,1593,113,-106, NO_EVENT
7721,69227,69213,321,58,-11, NO_EVENT
7722,69188,69177,671,84,7, NO_EVENT
7723,69130,69150,1125,96,-44, NO_EVENT
7724,69062,69107,1302,94,-68, NO_EVENT
7725,69086,69080,149,35,24, NO_EVENT
7726,69126,69101,350,60,40, NO_EVENT
7727,69180,69157,1044,99,18, NO_EVENT
7728,69268,69241,656,88,88, NO_EVENT
7729,69552,69405,7376,284,284, NO_EVENT
7730,70131,69832,31671,579,579, NO_EVENT
7731,84445,75921,37216961,14314,14314, TOUCHED
7732,83783,84312,30109,662,-662, TOUCHED
7733,71012,73939,17776408,12771,-12771, UNTOUCHED
7734,70366,70627,36129,646,-646, NO_EVENT
7735,70114,70212,4730,252,-252, NO_EVENT
7736,70199,70132,1067,95,85, NO_EVENT
7737,70430,70289,6591,236,236, NO_EVENT
7738,71827,71079,171052,1266,1266, NO_EVENT
7739,84155,83483,1744735,3382,3312, TOUCHED
7740,72200,78399,28591193,11874,-11874, UNTOUCHED
7741,70803,71302,148352,1397,-1397, NO_EVENT
7742,70140,70391,34482,511,-511, NO_EVENT
7743,69900,69969,5297,203,-197, NO_EVENT
7744,70089,69935,2645,218,193, NO_EVENT
7745,70685,70290,37840,604,596, NO_EVENT
7746,83957,75586,33180107,13272,13272, TOUCHED
7747,72621,81160,18873205,11394,-11394, UNTOUCHED
7748,70625,71444,299831,1996,-1996, NO_EVENT
7749,69849,70215,50264,776,-776, NO_EVENT
7750,69511,69666,11171,338,-338, NO_EVENT
7751,69450,69478,695,73,-62, NO_EVENT
7752,69522,69515,783,83,68, NO_EVENT
7753,69784,69656,6257,262,262, NO_EVENT
7754,70569,70088,54765,785,785, NO_EVENT
7755,71536,74426,7327413,7802,967, NO_EVENT
7756,70632,70983,66063,904,-904, NO_EVENT
7757,70139,70395,22061,493,-493, NO_EVENT
7758,69678,69857,21552,462,-461, NO_EVENT
7759,69411,69509,5742,267,-267, NO_EVENT
7760,69442,69409,1026,95,43, NO_EVENT
7761,69590,69515,4430,196,192, NO_EVENT
7762,70339,69889,46414,749,749, NO_EVENT
7763,79658,75948,16308253,9389,9319, TOUCHED
7764,83246,82926,472768,1981,1624, TOUCHED
7765,72893,78888,11859052,10353,-10353, UNTOUCHED
7766,70598,71282,289859,1526,-1526, NO_EVENT
7767,69726,70053,50169,670,-670, NO_EVENT
7768,69412,69560,9330,274,-274, NO_EVENT
7769,69389,69391,474,70,-23, NO_EVENT
7770,69584,69466,3715,195,195, NO_EVENT
7771,70111,69827,26390,527,527, NO_EVENT
7772,83526,75224,30906818,13415,13415, TOUCHED
7773,83633,83587,1186,107,107, TOUCHED
7774,79708,82836,1915966,3959,-3925, TOUCHED
7775,70588,71449,526976,2211,-2211, UNTOUCHED
7776,69882,70134,29684,510,-510, NO_EVENT
7777,69943,69880,634,95,61, NO_EVENT
7778,70547,70170,30356,604,604, NO_EVENT
7779,83515,73762,21246595,12968,12968, TOUCHED
7780,83378,83511,2063,174,-137, TOUCHED
7781,72618,78274,20313626,10760,-10760, UNTOUCHED
7782,70637,71368,233578,1550,-1550, NO_EVENT
7783,70040,70341,32890,597,-597, NO_EVENT
7784,69836,69943,5765,217,-204, NO_EVENT
7785,69903,69857,659,91,67, NO_EVENT
7786,70435,70134,27829,532,532, NO_EVENT
7787,78140,71913,5439577,7705,7705, NO_EVENT
7788,83622,83206,2239482,5630,5482, TOUCHED
7789,71819,77015,23682835,11803,-11803, UNTOUCHED
7790,70648,71167,115881,1171,-1171, NO_EVENT
7791,70111,70357,31772,537,-537, NO_EVENT
7792,69887,69969,4581,224,-224, NO_EVENT
7793,69806,69819,363,59,-24, NO_EVENT
7794,70184,69974,9514,331,331, NO_EVENT
7795,70884,70427,33650,700,700, NO_EVENT
7796,83598,78760,28872919,12714,12714, TOUCHED
7797,83410,83468,5730,197,-188, TOUCHED
7798,73096,79109,15488125,10238,-10238, UNTOUCHED
7799,70874,71809,412155,2222,-2222, NO_EVENT
7800,70083,70398,60983,791,-791, NO_EVENT
7801,69968,69980,1721,153,-115, NO_EVENT
7802,70556,70178,43620,598,588, NO_EVENT
7803,84465,80684,27201110,13605,13565, TOUCHED
7804,84396,84433,3158,136,-69, TOUCHED
7805,81991,83983,410096,2405,-2405, TOUCHED
7806,70842,73521,10015674,11149,-11149, UNTOUCHED
7807,69690,70165,118565,1152,-1152, NO_EVENT
7808,69257,69422,21389,475,-433, NO_EVENT
7809,68922,69026,5694,211,-211, NO_EVENT
7810,68855,68866,915,85,-42, NO_EVENT
7811,69088,68965,5251,233,233, NO_EVENT
7812,69623,69360,25228,535,535, NO_EVENT
7813,83399,72375,19174478,13776,13776, TOUCHED
7814,84802,84376,304034,1432,1403, TOUCHED
7815,84383,84785,32500,531,-419, TOUCHED
7816,74691,81404,9927205,9692,-9692, UNTOUCHED
7817,70107,71256,2209541,4584,-4584, NO_EVENT
7818,69749,69896,11638,358,-358, NO_EVENT
7819,69787,69717,1137,113,38, NO_EVENT
7820,70143,69939,13737,356,356, NO_EVENT
7821,84711,73181,21191295,14456,14456, TOUCHED
