ENT
     27052,      72911,      73045,       8698,        309,       -309, NO_EVENT
NO_EVENT
     27102,      73559,      73343,      63997,        635,        632, NO_EVENT
     27127,      73567,      73580,        275,         49,         10, NO_EVENT
     27152,      73521,      73529,        513,         74,        -21, NO_EVENT
     27177,      73351,      73426,       3043,        177,       -170, NO_EVENT
     27202,      73025,      73234,       9832,        326,       -326, NO_EVENT
     27227,      72737,      72839,       6904,        288,       -288, NO_EVENT
     27252,      72686,      72730,        649,         82,        -51, NO_EVENT
     27277,      72687,      72675,        198,         35,          1, NO_EVENT
     27302,      72677,      72686,        181,         41,        -10, NO_EVENT
     27327,      72614,      72644,        858,         75,        -63, NO_EVENT
     27352,      72607,      72601,        431,         59,         -7, NO_EVENT
     27377,      72656,      72618,        735,         70,         49, NO_EVENT
     27402,      72684,      72669,        490,         63,         27, NO_EVENT
     27427,      72708,      72684,        178,         37,         37, NO_EVENT
     27452,      72713,      72705,        505,         66,         56, NO_EVENT
     27477,      72774,      72738,        512,         60,         56, NO_EVENT
     27502,      72774,      72767,        604,         75,         47, NO_EVENT
     27527,      72867,      72845,        558,        104,         93, NO_EVENT
     27552,      72952,      72905,        782,         85,         85, NO_EVENT
     27577,      73066,      72996,       1628,        132,        114, NO_EVENT
     27602,      73232,      73129,       3824,        181,        166, NO_EVENT
     27627,      73431,      73319,       2687,        199,        199, NO_EVENT
     27652,      73513,      73467,       1466,        108,         82, NO_EVENT
     27677,      73511,      73521,        116,         32,         -2, NO_EVENT
     27702,      73557,      73536,        641,         66,         -6, NO_EVENT
     27727,      73536,      73550,        528,         64,          9, NO_EVENT
     27752,      73418,      73496,       1336,        118,       -118, NO_EVENT
     27777,      72782,      73120,      46970,        636,       -636, NO_EVENT
     27802,      72019,      72374,      57479,        763,       -763, NO_EVENT
     27827,      71600,      71808,      15210,        419,       -419, NO_EVENT
     27852,      71218,      71402,      12576,        382,       -382, NO_EVENT
     27877,      70876,      71041,      10751,        342,       -342, NO_EVENT
     27902,      70529,      70681,       9410,        347,       -347, NO_EVENT
     27927,      70234,      70359,       8416,        295,       -295, NO_EVENT
     27952,      69906,      70047,       7611,        239,       -232, NO_EVENT
     27977,      69605,      69712,       7368,        248,       -227, NO_EVENT
     28002,      69296,      69449,       7992,        309,       -309, NO_EVENT
     28027,      69095,      69182,       5038,        201,       -201, NO_EVENT
     28052,      68832,      68920,       5098,        263,       -263, NO_EVENT
     28077,      68471,      68658,       8290,        306,       -306, NO_EVENT
     28102,      67981,      68237,      23110,        490,       -490, NO_EVENT
     28127,      67898,      67936,       1237,         93,        -83, NO_EVENT
     28152,      67948,      67882,       1338,        111,         50, NO_EVENT
     28177,      67853,      67907,       1425,         97,        -95, NO_EVENT
     28202,      67892,      67864,        936,         86,         39, NO_EVENT
     28227,      67910,      67882,       1286,        111,         18, NO_EVENT
     28252,      67949,      67920,        905,         72,         14, NO_EVENT
     28277,      67948,      67889,       1841,        122,         -1, NO_EVENT
     28302,      67854,      67865,        861,        119,        -94, NO_EVENT
     28327,      67850,      67859,       1504,        114,        -38, NO_EVENT
     28352,      67909,      67879,        992,         88,         59, NO_EVENT
     28377,      67858,      67885,       2186,        109,        -51, NO_EVENT
     28402,      67850,      67868,        843,         98,        -45, NO_EVENT
     28427,      67835,      67833,        173,         38,        -15, NO_EVENT
     28452,      67827,      67864,       1197,        101,         -8, NO_EVENT
     28477,      67838,      67863,       2290,        117,        -15, NO_EVENT
     28502,      67810,      67868,       1393,        104,        -28, NO_EVENT
     28527,      67851,      67848,       1670,        122,         41, NO_EVENT
     28552,      67927,      67883,       1207,        102,         71, NO_EVENT
