      -310, 
    176702,      79800,      80023,      20336,        405,       -155, NO_EVENT
    176727,      79855,      79998,      22375,        347,       -243, NO_EVENT
    176752,      79795,      79992,      33685,        432,        -60, NO_EVENT
    176777,      74767,      79609,    2063474,       5485,      -5485, NO_EVENT
    176802,      74278,      74312,      40995,        828,       -489, NO_EVENT
    176827,      74089,      74125,      22440,        475,       -189, NO_EVENT
    176852,      74025,      74248,      51503,        591,       -591, NO_EVENT
    176877,      74038,      74207,      44664,        636,       -553, NO_EVENT
    176902,      74417,      74126,      41284,        653,        379, NO_EVENT
    176927,      74203,      74204,      48950,        544,       -214, NO_EVENT
    176952,      74230,      74136,      34710,        454,         27, NO_EVENT
    176977,      74294,      74203,      13764,        378,         64, NO_EVENT
    177002,      73995,      74107,      15147,        338,        -43, NO_EVENT
    177027,      74207,      74235,      87220,        759,        212, NO_EVENT
    177052,      74332,      74232,      42685,        689,        125, NO_EVENT
    177077,      74244,      74284,      31624,        504,        -88, NO_EVENT
    177102,      74175,      74273,      41025,        620,        -69, NO_EVENT
    177127,      74013,      74282,      68978,        736,       -421, NO_EVENT
    177152,      74142,      74153,      16546,        402,       -127, NO_EVENT
    177177,      74339,      74221,      44602,        567,        197, NO_EVENT
    177202,      74339,      74107,      77583,        738,          0, NO_EVENT
    177227,      74211,      74209,      29224,        446,       -128, NO_EVENT
    177252,      74241,      74143,      33493,        524,         30, NO_EVENT
    177277,      74138,      74352,      22039,        399,       -386, NO_EVENT
    177302,      74252,      74184,      22990,        492,        114, NO_EVENT
    177327,      74446,      74179,      41939,        573,        194, NO_EVENT
    177352,      74602,      74197,      42863,        664,        156, NO_EVENT
    177377,      74273,      74284,      51888,        632,       -329, NO_EVENT
    177402,      73770,      74170,      42445,        583,       -347, NO_EVENT
    177427,      74181,      74356,      27516,        447,       -443, NO_EVENT
    177452,      74392,      74261,      69519,        783,        211, NO_EVENT
    177477,      74555,      74239,      71966,        825,        163, NO_EVENT
    177502,      74261,      74314,      62659,        694,       -294, NO_EVENT
    177527,      74032,      74143,      37272,        595,       -229, NO_EVENT
    177552,      73972,      74219,      20213,        447,       -326, NO_EVENT
    177577,      74480,      74336,      60670,        610,        508, NO_EVENT
    177602,      74201,      74236,      69745,        815,       -279, NO_EVENT
    177627,      74078,      74197,      85862,        871,       -123, NO_EVENT
    177652,      74175,      74295,      35547,        579,         97, NO_EVENT
    177677,      73988,      74272,      35972,        603,       -364, NO_EVENT
    177702,      74247,      74327,      38730,        544,       -252, NO_EVENT
    177727,      74223,      74233,      17596,        350,        -24, NO_EVENT
    177752,      74189,      74305,      37653,        612,        -34, NO_EVENT
    177777,      73926,      74241,      79218,        842,       -263, NO_EVENT
    177802,      74053,      74303,      40924,        563,       -329, NO_EVENT
    177827,      73923,      74321,      60645,        704,       -408, NO_EVENT
    177852,      74505,      74266,      44214,        582,        582, NO_EVENT
    177877,      74201,      74230,      41193,        506,       -304, NO_EVENT
    177902,      74477,      74337,      22216,        386,        276, NO_EVENT
    177927,      74367,      74259,      55163,        662,       -110, NO_EVENT
    177952,      74070,      74254,      38329,        569,       -365, NO_EVENT
    177977,      74363,      74256,      94306,        908,        293, NO_EVENT
    178002,      74404,      74154,      42452,        579,         41, NO_EVENT
    178027,      74317,      74242,      59828,        747,        -87, NO_EVENT
    178052,      73936,      74286,      35279,        585,       -381, NO_EVENT
    178077,      73937,      74190,      20628,        467,       -343, NO_EVENT
    178102,      74035,      74130,       8616,        220,       -149, NO_EVENT
    178127,      74420,      74202,      55588,        647,        385, NO_EVENT
    178152,      74442,      74231,      45039,        596,         22, NO_EVENT
    178177,      74124,      74209,      44375,        567,       -318, NO_EVENT
    178202,      73979,      74132,      67441,        683,       -145, NO_EVENT
    178227,      74259,      74241,       7930,        282,         69, NO_EVENT
    178252,      74224,      74249,      57529,        697,        -35, NO_EVENT
    178277,      74420,      74153,      43275,        667,        196, NO_EVENT
    178302,      74173,      74231,      42999,        497,       -247, NO_EVENT
    178327,      74197,      74167,      33462,        546,         24, NO_EVENT
    178352,      74118,      74169,      36618,        532,       -360, NO_EVENT
    178377,      74177,      74397,      41586,        590,       -306, NO_EVENT
    178402,      74330,      74268,      39657,        620,        153, NO_EVENT
    178427,      74215,      74242,      30134,        480,       -115, NO_EVENT
    178452,      74212,      74238,       3065,        159,         -3, NO_EVENT
    178477,      74180,      74378,      87021,        890,       -450, NO_EVENT
    178502,      74255,      74312,      16597,        382,       -157, NO_EVENT
    178527,      74148,      74393,      47537,        653,       -107, NO_EVENT
    178552,      74349,      74259,      21661,        394,        201, NO_EVENT
